,scores,logFC,PValue,FDR
CX3CR1,-0.7312092,-1.2170211,0.4646513542143125,0.7942158308803469
CCL26,-0.73471904,,0.4625106263990999,0.7942158308803469
ICOSLG,-0.76098853,0.778435,0.4466639151758864,0.7727749397506686
CXCL2,-0.7638825,0.2166615,0.4449372711731539,0.7724605402311701
TNFSF4,-0.7741937,-0.13302894,0.4388162622689154,0.7644882617925357
TBX21,-0.7774022,-0.05667503,0.436921504741453,0.7644882617925357
AURKB,-0.7780745,-1.4638072,0.436525098658649,0.7644882617925357
CAV1,-0.7881662,0.18681642,0.4305994711680055,0.7644882617925357
FFAR2,-0.792595,0.79463387,0.4280138106690291,0.7644882617925357
CXCR2,-0.8162896,0.8796078,0.4143345332030581,0.7461188262728958
FASLG,-0.8231963,-0.28371918,0.4103963933281019,0.7461188262728958
PDGFC,-0.8251528,,0.4092848235814454,0.7461188262728958
CCNB1,-0.8263369,0.23938732,0.4086129875849597,0.7461188262728958
PLA2G2A,-0.8413154,-0.2751573,0.4001712821051544,0.7356089744580043
MAP2K1,-0.84430254,-0.032418337,0.3985003564336899,0.7352405100252583
NEDD4,-0.8487148,1.1240224,0.3960399831798728,0.7334073762590237
NOS2,-0.86808467,0.12549248,0.3853479990680395,0.7169457334346518
CD8B,-0.8682483,-0.40606385,0.3852584347924556,0.7169457334346518
WNT3,-0.86971015,0.32248205,0.3844588225274864,0.7169457334346518
PDGFA,-0.89209884,,0.3723399531908863,0.7051893052857695
CXCL16,-0.9125893,1.4367154,0.3614585777637819,0.6911139448472271
LRP6,-0.9261109,0.263507,0.3543883299122014,0.6815160190619259
ACKR3,-0.9271022,0.020388028,0.3538734591682043,0.6815160190619259
PDGFRA,-0.93382627,0.017689196,0.3503935228354067,0.6790572147972997
SHARPIN,-0.93413574,-0.55513126,0.3502338688972027,0.6790572147972997
NFKBIA,-0.95042574,0.02288439,0.3418959566968328,0.6703842288173191
TREM2,-0.9520697,1.8887643,0.3410616489146757,0.6703842288173191
CHEK2,-0.9606482,0.023294145,0.3367291012318551,0.6654725320787651
TEAD1,-0.96565855,0.045245428,0.3342150790294533,0.6631251568044709
IL10,-0.98077965,-0.42171788,0.3267014094857826,0.6534028189715652
EPHB3,-0.99431014,0.112129256,0.3200718867392664,0.642714632006559
ITGA1,-1.0126829,-0.16482902,0.3112116174844633,0.627442777186418
NRP1,-1.0200989,0.86736864,0.3076815442692244,0.6250558593553723
RGMB,-1.0259624,0.04047021,0.3049093461645132,0.6222639717643128
TNF,-1.0347241,-0.6240059,0.3007977758326274,0.616388884902925
COL11A1,-1.037878,-1.3927374,0.2993268135963539,0.6158987934081356
FCGR2A,-1.0426513,,0.2971098424464713,0.6138633108398168
CEACAM1,-1.0492878,,0.2940456982690645,0.6100533159109223
DNMT3A,-1.0677754,-0.38015392,0.2856218602541931,0.5950455421962357
LOX,-1.0736547,0.22819787,0.282977519589035,0.5920031790565587
CD40,-1.0749034,-0.005892708,0.2824179897476988,0.5920031790565587
TGFB3,-1.0868717,-0.12561125,0.2770934737595642,0.5870624444058565
TBK1,-1.0879633,-1.8113898,0.2766113138638877,0.5870624444058565
ASCL2,-1.0884529,1.0068743,0.2763952142320821,0.5870624444058565
ITGAX,-1.0963389,0.3549314,0.2729305205394988,0.5856878123165211
TNFSF10,-1.1091381,-0.0171874,0.2673706188231699,0.5762297819464868
SOX9,-1.10966,0.11961184,0.2671455454383699,0.5762297819464868
INSR,-1.1205059,0.08193167,0.2624982447018916,0.5706483580475905
IL12RB2,-1.1544622,-0.7246561,0.2483107398289414,0.5469399555703556
SPRY2,-1.1627337,0.14429358,0.2449375637749016,0.5418972649887203
CDK6,-1.174468,-1.1001941,0.240207586732045,0.5337946371823222
TWIST1,-1.1804197,0.24386603,0.237833356906171,0.5308780288084175
KLRK1,-1.1840271,-0.18678778,0.2364023385748776,0.5300500864907571
TBX3,-1.2223595,0.27791688,0.2215717043068442,0.49903537006046
CD177,-1.2533115,-2.9667966,0.2100923732541649,0.4753221114347623
CX3CL1,-1.301799,0.13018918,0.1929850828780566,0.4406052120503575
HLA-DRB1,-1.3095582,-1.3224521,0.1903453549376248,0.4365719149945523
