group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
in,TRBC1,1.6201473,,0.105200627911293462247,0.482571687666483784,0.31643816160441264108
in,IL2RA,1.5908781,1.6512618,0.11163700828524281139,0.5073312512327717849,0.29470838463722438336
in,GPX3,1.5864929,-2.5462687,0.1126275377736753458,0.5073312512327717849,0.29470838463722438336
in,HLA-C,1.5751138,-0.003227161,0.11523018580959941415,0.5098680788035372391,0.29254217695866013095
in,HLA-DPA1,1.5622419,1.084945,0.118230997588966699197,0.51372311898204225944,0.28927088936540261787
in,LYZ,1.5582088,-1.5557432,0.119183763603833800526,0.51372311898204225944,0.28927088936540261787
in,CD27,1.5106429,0.008029314,0.13087946618950516142,0.549826382501415023,0.25977442509661026628
in,TGFBR1,1.5096632,,0.13112938002884141908,0.549826382501415023,0.25977442509661026628
in,STAP1,1.4584379,0.54890305,0.14471986119459021025,0.578879444778360841,0.23741187136569514379
in,NLRC5,1.4403132,0.8386003,0.14977880779014277057,0.59436034837358242555,0.2259501714159784791
in,CD28,1.4060667,,0.15970434448066705979,0.6238450956276057058,0.20492323478190226807
in,NCR3,1.3480166,0.7139774,0.17765304206309251445,0.6885776824150872111,0.16204705738075893929
in,IL2RB,1.3396227,-0.824975,0.18036801400831048436,0.69265499349143577756,0.15948303051434684518
in,CCL5,1.3190503,3.8618748,0.18715230752037703699,0.70891025575900390443,0.14940874069222731657
in,IFNGR1,1.298999,-0.41511467,0.19394428603286484325,0.7236727090778538596,0.14045780504477194217
in,ITK,1.2806886,-1.6895963,0.20030305371151035931,0.7356103115541592352,0.13335219158773433564
in,PPARD,1.235153,-1.1710413,0.21677358499090637611,0.77803130562966238415,0.109002927960589992525
in,BMI1,1.2322686,0.38403577,0.21784876557630550309,0.77803130562966238415,0.109002927960589992525
in,CTNNB1,1.2182889,-0.10446652,0.22311420797022951668,0.7856134083458786721,0.10479111289812659909
in,HIF1A,1.1909626,-0.020989578,0.23366827674816126326,0.81702194667189265154,0.08776627738376096749
in,FOXP3,1.0739648,-1.6218779,0.28283846953216962294,0.9427948984405654098,0.025582776153129517708
in,MCM6,1.0382692,-0.61621016,0.29914474880217578612,0.9628163837453016516,0.016456528170960883184
in,ZEB1,1.0380837,0.3579199,0.29923112200386248194,0.9628163837453016516,0.016456528170960883184
in,DIABLO,1.0321294,-0.6895673,0.30201152018739418903,0.9628163837453016516,0.016456528170960883184
in,KLRB1,1.0281616,0.7027485,0.30387378504407258628,0.9628163837453016516,0.016456528170960883184
in,STAT1,1.0273621,0.33856216,0.30424997726351532545,0.9628163837453016516,0.016456528170960883184
in,MSH6,1.0189273,-0.51548094,0.30823744787255658029,0.9642822925902144737,0.015795808247346863948
in,CD1C,1.0108473,0.6767842,0.3120894915514955681,0.9642822925902144737,0.015795808247346863948
in,MMP9,0.9966712,,0.31892414136732427643,0.97232969929062273984,0.012186448752861731714
in,GATA3,0.96916205,,0.33246435102061122624,0.99984759063045269833,6.619559272716956762e-05
in,VEGFB,0.9490234,0.716333,0.34260870962999345757,0.99984759063045269833,6.619559272716956762e-05
in,NFKB1,0.94889516,-0.3456747,0.34267394231412606764,0.99984759063045269833,6.619559272716956762e-05
in,GZMA,0.93327,,0.350680594630583653,0.99984759063045269833,6.619559272716956762e-05
in,MLH1,0.9307867,0.36028555,0.35196388289079116873,0.99984759063045269833,6.619559272716956762e-05
in,NFKBIA,0.9117587,-0.022225507,0.36189572936464209363,0.99984759063045269833,6.619559272716956762e-05
in,CD8A,0.90742266,,0.36418332656343932463,0.99984759063045269833,6.619559272716956762e-05
in,HDAC3,0.9045929,1.1065719,0.3656811031107758403,0.99984759063045269833,6.619559272716956762e-05
in,SHARPIN,0.9008708,-0.39194778,0.36765702278850020956,0.99984759063045269833,6.619559272716956762e-05
in,BAX,0.85943925,-0.1792025,0.39009822650777437048,0.99984759063045269833,6.619559272716956762e-05
in,AKT3,0.85671043,0.8227009,0.39160493669499152336,0.99984759063045269833,6.619559272716956762e-05
in,TRAT1,0.84308547,,0.39918064159752730813,0.99984759063045269833,6.619559272716956762e-05
in,CD86,0.8337775,0.7952704,0.4044063775373296643,0.99984759063045269833,6.619559272716956762e-05
in,KRAS,0.7992771,-1.134292,0.42412973575823553762,0.99984759063045269833,6.619559272716956762e-05
in,TBK1,0.7812506,-0.9940149,0.4346551173914983135,0.99984759063045269833,6.619559272716956762e-05
in,RAF1,0.7728022,0.32354,0.43963945066756104918,0.99984759063045269833,6.619559272716956762e-05
in,CXCR6,0.75102353,,0.4526384800939582398,0.99984759063045269833,6.619559272716956762e-05
in,MCM2,0.74289715,-0.026212703,0.45754394915653717746,0.99984759063045269833,6.619559272716956762e-05
in,VCAM1,0.71628034,0.43414074,0.47381827350520722142,0.99984759063045269833,6.619559272716956762e-05
