group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
out,MMRN2,0.029013783,0.23482423,0.97685359756421796806,0.98871821615811539274,0.00492746432259546616
out,CXCL5,0.019677391,0.6619165,0.9843007259348842686,0.9919259595715881339,0.0035207437223885307301
out,CLEC14A,0.017911082,0.13797317,0.98570978841305378904,0.9919259595715881339,0.0035207437223885307301
out,PDGFB,0.0021087902,-0.52578807,0.9983174300186858918,0.99934822511244181253,0.0002831545236407230141
out,MUC2,0.00081687875,-0.10841386,0.99934822511244181253,0.99934822511244181253,0.0002831545236407230141
out,CCL11,-0.011093822,-0.1831354,0.9911485918093662084,0.9951291082423355805,0.0021205701490220186936
out,CCR6,-0.017579384,0.06959811,0.98597440381415857313,0.9919259595715881339,0.0035207437223885307301
out,RET,-0.030663397,-0.053786967,0.9755379826853554093,0.98871821615811539274,0.00492746432259546616
out,FAP,-0.03265232,-0.13817132,0.9739518476364394939,0.98871821615811539274,0.00492746432259546616
out,IGF1R,-0.03570737,0.069488406,0.97151569440509366604,0.98871821615811539274,0.00492746432259546616
out,MSH6,-0.03853283,0.21512637,0.96926285535647704883,0.98871821615811539274,0.00492746432259546616
out,CLEC4C,-0.049305104,-0.41296345,0.9606761529018271739,0.9863204855254898984,0.005981946640872863143
out,WNT3A,-0.067360155,-0.20878574,0.94629499015474916046,0.9836746259404877124,0.0071485311688227621717
out,TGFBR3,-0.06926599,-2.7472496,0.94477789485168839345,0.9836746259404877124,0.0071485311688227621717
out,IGF1,-0.07166272,0.30042538,0.94287032516624791345,0.9836746259404877124,0.0071485311688227621717
out,RB1,-0.07234641,0.8150348,0.942326230176170343,0.9836746259404877124,0.0071485311688227621717
out,CCR10,-0.07418439,-0.19776003,0.9408636673798922434,0.9836746259404877124,0.0071485311688227621717
out,CSF1R,-0.076080084,-0.61530906,0.9393553876488226484,0.9836746259404877124,0.0071485311688227621717
out,CD68,-0.07862141,-0.2402415,0.937333757000061496,0.9836746259404877124,0.0071485311688227621717
out,IL13,-0.08220731,-0.14480664,0.9344818641411528626,0.9836746259404877124,0.0071485311688227621717
out,TLR1,-0.088524796,0.75773704,0.9294595762838581132,0.9836746259404877124,0.0071485311688227621717
out,HGF,-0.09054543,-0.116966285,0.9278537937195109331,0.9836746259404877124,0.0071485311688227621717
out,TCL1A,-0.1069997,,0.9147892152997306736,0.9836746259404877124,0.0071485311688227621717
out,CCL17,-0.11794892,-0.12519254,0.90610812888933478515,0.9836746259404877124,0.0071485311688227621717
out,XCL1,-0.1195218,-0.27578616,0.90486197383015609663,0.9836746259404877124,0.0071485311688227621717
out,CCL8,-0.1216604,-0.5691855,0.9031679812965103249,0.9836746259404877124,0.0071485311688227621717
out,FGF1,-0.12374064,-0.16680524,0.90152062957949230526,0.9836746259404877124,0.0071485311688227621717
out,TNFSF9,-0.12378504,-0.2820817,0.90148547727900518733,0.9836746259404877124,0.0071485311688227621717
out,MSH2,-0.12605049,-1.3271946,0.8996919635526809955,0.9836746259404877124,0.0071485311688227621717
out,IDO2,-0.12937889,-0.5007126,0.8970578557764794514,0.9836746259404877124,0.0071485311688227621717
out,VEGFC,-0.13916938,-0.19511181,0.88931630540018979936,0.9836746259404877124,0.0071485311688227621717
out,PTGDR2,-0.1408488,-0.13847788,0.8879893904086108014,0.9836746259404877124,0.0071485311688227621717
out,FGFR1,-0.14430912,0.19562535,0.8852563778713132825,0.9836746259404877124,0.0071485311688227621717
out,ROR1,-0.14689992,-0.094189964,0.8832110163456782237,0.9836746259404877124,0.0071485311688227621717
out,CSF3,-0.15423977,-0.12882589,0.8774206798425341347,0.9836746259404877124,0.0071485311688227621717
out,IFNAR1,-0.1564862,0.28609592,0.8756498009940403282,0.9836746259404877124,0.0071485311688227621717
out,CTSG,-0.19055663,-1.5461516,0.84887296824008751095,0.9836746259404877124,0.0071485311688227621717
out,SNAI1,-0.19798592,-0.39464855,0.8430560810438663122,0.9836746259404877124,0.0071485311688227621717
